,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,jimmyfallon,jimmy fallon,15485441,1079510916318679040,/jimmyfallon/status/1079510916318679040,2018-12-30 22:53:53,1546210433,"Oooohhhhhhhh my man #JIMIN (@BTS_twt) with a solo jam!! I love it. Congrats!! Your brother, Chimmyhttp://btsblog.ibighit.com/m/383 ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Oooohhhhhhhh my man <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/JIMIN?src=hash""><s>#</s><b>JIMIN</b></a> (<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""335141638"" dir=""ltr"" href=""/BTS_twt""><s>@</s><b>BTS_twt</b></a>) with a solo jam!! I love it. Congrats!! <img alt=""💜"" aria-label=""Emoji: Purple heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f49c.png"" title=""Purple heart""/>Your brother, Chimmy<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://btsblog.ibighit.com/m/383"" dir=""ltr"" href=""https://t.co/PW9swb0cJN"" rel=""nofollow noopener"" target=""_blank"" title=""http://btsblog.ibighit.com/m/383""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">btsblog.ibighit.com/m/383</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://btsblog.ibighit.com/m/383'],['JIMIN'],False,[],,486327,161313,6928,True,False,,[]
1,jimmyfallon,jimmy fallon,15485441,1078658709721468929,/jimmyfallon/status/1078658709721468929,2018-12-28 14:27:31,1546007251,"Tonight Show Retro Game Challenge vs @Ninja. Some of the best (and worst) games and consoles of all time. We go from Pong to @SEGA Genesis Olympics, @NintendoAmerica Goldeneye and @PlayStation @RocketLeague. Who wears the headband?https://www.youtube.com/watch?v=XpUUcpUj8L4 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tonight Show Retro Game Challenge vs <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""214201922"" dir=""ltr"" href=""/Ninja""><s>@</s><b>Ninja</b></a>. Some of the best (and worst) games and consoles of all time. We go from Pong to <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17092592"" dir=""ltr"" href=""/SEGA""><s>@</s><b>SEGA</b></a> Genesis Olympics, <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""5162861"" dir=""ltr"" href=""/NintendoAmerica""><s>@</s><b>NintendoAmerica</b></a> Goldeneye and <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""10671602"" dir=""ltr"" href=""/PlayStation""><s>@</s><b>PlayStation</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2732818747"" dir=""ltr"" href=""/RocketLeague""><s>@</s><b>RocketLeague</b></a>. Who wears the headband?<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.youtube.com/watch?v=XpUUcpUj8L4"" dir=""ltr"" href=""https://t.co/IeikazE7Yd"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.youtube.com/watch?v=XpUUcpUj8L4""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">youtube.com/watch?v=XpUUcp</span><span class=""invisible"">Uj8L4</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.youtube.com/watch?v=XpUUcpUj8L4'],[],False,[],,3919,258,172,True,False,,[]
2,jimmyfallon,jimmy fallon,15485441,1076337366007246849,/jimmyfallon/status/1076337366007246849,2018-12-22 04:43:20,1545453800,Watching the best of 2018 #FallonTonight now.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Watching the best of 2018 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FallonTonight?src=hash""><s>#</s><b>FallonTonight</b></a> now.</p>",[],['FallonTonight'],False,[],,5880,312,288,True,False,,[]
3,jimmyfallon,jimmy fallon,15485441,1076273833928212480,/jimmyfallon/status/1076273833928212480,2018-12-22 00:30:52,1545438652,Haaaa!!! Thank you my brother. It’s delicious right? #TonightDoughhttps://twitter.com/jpappone/status/1076258062141394944 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Haaaa!!! Thank you my brother. It’s delicious right? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/TonightDough?src=hash""><s>#</s><b>TonightDough</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/jpappone/status/1076258062141394944"" dir=""ltr"" href=""https://t.co/CdVKvuVhEw"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/jpappone/status/1076258062141394944""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/jpappone/statu</span><span class=""invisible"">s/1076258062141394944</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/jpappone/status/1076258062141394944'],['TonightDoughhttps'],False,[],,2476,132,107,True,False,,[]
4,jimmyfallon,jimmy fallon,15485441,1076117140351172608,/jimmyfallon/status/1076117140351172608,2018-12-21 14:08:14,1545401294,"Tonight! We're looking back at our favorite moments from #FallonTonight in 2018 featuring @ArianaGrande, @chadwickboseman, and @priyankachopra! Thank you for a great year!!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tonight! We're looking back at our favorite moments from <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FallonTonight?src=hash""><s>#</s><b>FallonTonight</b></a> in 2018 featuring <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""34507480"" dir=""ltr"" href=""/ArianaGrande""><s>@</s><b>ArianaGrande</b></a>, <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""718495181914316801"" dir=""ltr"" href=""/chadwickboseman""><s>@</s><b>chadwickboseman</b></a>, and <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""18681139"" dir=""ltr"" href=""/priyankachopra""><s>@</s><b>priyankachopra</b></a>! Thank you for a great year!!</p>",[],['FallonTonight'],False,[],,4264,314,162,True,False,,[]
5,jimmyfallon,jimmy fallon,15485441,1075760036503273472,/jimmyfallon/status/1075760036503273472,2018-12-20 14:29:14,1545316154,"Tonight! Felicity Jones, @jimmycarr, and music from @BebeRexha! Plus, a new take on a Christmas classic with @MileyCyrus and @MarkRonson! #FallonTonight","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tonight! Felicity Jones, <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17020962"" dir=""ltr"" href=""/jimmycarr""><s>@</s><b>jimmycarr</b></a>, and music from <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""27131277"" dir=""ltr"" href=""/BebeRexha""><s>@</s><b>BebeRexha</b></a>! Plus, a new take on a Christmas classic with <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""268414482"" dir=""ltr"" href=""/MileyCyrus""><s>@</s><b>MileyCyrus</b></a> and <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""43761917"" dir=""ltr"" href=""/MarkRonson""><s>@</s><b>MarkRonson</b></a>! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FallonTonight?src=hash""><s>#</s><b>FallonTonight</b></a></p>",[],['FallonTonight'],False,[],,1737,206,57,True,False,,[]
6,jimmyfallon,jimmy fallon,15485441,1075427554453057538,/jimmyfallon/status/1075427554453057538,2018-12-19 16:28:04,1545236884,Horatio wrote this based on a gift I received from my agents at CAA. One of the funniest people I’ve ever met in my life. And the other guys are just icing. So lucky to get to play with this caliber of comedy. Thanks for liking and spreading joy.https://twitter.com/TwitterMoments/status/1075423415060889601 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Horatio wrote this based on a gift I received from my agents at CAA. One of the funniest people I’ve ever met in my life. And the other guys are just icing. So lucky to get to play with this caliber of comedy. Thanks for liking and spreading joy.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/TwitterMoments/status/1075423415060889601"" dir=""ltr"" href=""https://t.co/4mqclYBfsZ"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/TwitterMoments/status/1075423415060889601""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/TwitterMoments</span><span class=""invisible"">/status/1075423415060889601</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/TwitterMoments/status/1075423415060889601'],[],False,[],,5500,340,132,True,False,,[]
7,jimmyfallon,jimmy fallon,15485441,1075392483604000768,/jimmyfallon/status/1075392483604000768,2018-12-19 14:08:42,1545228522,Tonight!! Willem Dafoe stops by and @HaileeSteinfeld is here to talk and perform! #FallonTonight,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tonight!! Willem Dafoe stops by and <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""344779704"" dir=""ltr"" href=""/HaileeSteinfeld""><s>@</s><b>HaileeSteinfeld</b></a> is here to talk and perform! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FallonTonight?src=hash""><s>#</s><b>FallonTonight</b></a></p>",[],['FallonTonight'],False,[],,909,83,35,True,False,,[]
8,jimmyfallon,jimmy fallon,15485441,1075391307978289152,/jimmyfallon/status/1075391307978289152,2018-12-19 14:04:02,1545228242,Elevator Surprise with @MichelleObama! https://youtu.be/3m18GBTcuUo  #FallonTonight,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Elevator Surprise with <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""409486555"" dir=""ltr"" href=""/MichelleObama""><s>@</s><b>MichelleObama</b></a>! <a class=""twitter-timeline-link"" data-expanded-url=""https://youtu.be/3m18GBTcuUo"" dir=""ltr"" href=""https://t.co/KxmjFCrNu3"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/3m18GBTcuUo""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/3m18GBTcuUo</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FallonTonight?src=hash""><s>#</s><b>FallonTonight</b></a></p>",['https://youtu.be/3m18GBTcuUo'],['FallonTonight'],False,[],,1224,158,59,True,False,,[]
9,jimmyfallon,jimmy fallon,15485441,1075242664545665024,/jimmyfallon/status/1075242664545665024,2018-12-19 04:13:22,1545192802,"It was 20 years ago today. I love these dudes sooooo much. Get that holiday spirit!!!! Thank you @MrHoratioSanz, @ChrisKattan, @RealTracyMorgan and newbie @ArianaGrande. #IWishItWasChristmasTodaypic.twitter.com/hcowLugGzf","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">It was 20 years ago today. I love these dudes sooooo much. Get that holiday spirit!!!! Thank you <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""164481132"" dir=""ltr"" href=""/MrHoratioSanz""><s>@</s><b>MrHoratioSanz</b></a>, <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""45118247"" dir=""ltr"" href=""/ChrisKattan""><s>@</s><b>ChrisKattan</b></a>, @RealTracyMorgan and newbie <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""34507480"" dir=""ltr"" href=""/ArianaGrande""><s>@</s><b>ArianaGrande</b></a>. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IWishItWasChristmasToday?src=hash""><s>#</s><b>IWishItWasChristmasToday</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/hcowLugGzf"">pic.twitter.com/hcowLugGzf</a></p>",[],['IWishItWasChristmasTodaypic'],True,['https://pbs.twimg.com/media/DuwHgMWW0AAv02W.jpg'],,15176,1505,278,True,False,,[]
